Word,frequency
beside,1
between,1
bhai,1
biriyani,1
biscuits,1
bites,1
blends,1
blockbuster,1
body,1
both,1
bound,1
bowl,1
box,1
brands,1
bringing,1
butters,1
buying,1
cake,1
called,1
capital,1
celebration,1
cereal,1
chain,1
cheese,1
cheesecake,1
cheroor,1
chicken,1
chill,1
chilli,1
chocolate,1
chocolates,1
chowpatty,1
classics,1
coffees,1
collabs,1
collection,1
combination,1
come,1
comments,1
commonly,1
consumers,1
continue,1
copyright,1
could,1
craving,1
crisp,1
crypto,1
cryptocurrency,1
cuisines,1
culinary,1
curated,1
customers,1
cypto,1
date,1
dedicated,1
delicious,1
delish,1
deliver,1
demand,1
design,1
designs,1
dessert,1
develop,1
di,1
different,1
dine,1
dip,1
disclosed,1
dog,1
done,1
doors,1
during,1
each,1
early,1
eat,1
eateries,1
embodies,1
enable,1
enabling,1
epic,1
every,1
everyone,1
excited,1
expect,1
explosive,1
expressed,1
family,1
farmers,1
favorite,1
find,1
finding,1
fire,1
first,1
fit,1
flavor,1
flavors,1
fly,1
forte,1
frame,1
free,1
fresh,1
fries,1
front,1
frustration,1
full,1
game,1
get,1
give,1
giveaway,1
glazed,1
global,1
go,1
gone,1
got,1
grab,1
grocery,1
grow,1
growing,1
guys,1
handcrafted,1
handmade,1
handpicked,1
heart,1
heaven,1
held,1
help,1
highest,1
highway,1
his,1
hogging,1
homage,1
homegrown,1
horoscope,1
hotspots,1
icecream,1
iconic,1
if,1
include,1
included,1
inflated,1
innovation,1
intentionally,1
introducing,1
issue,1
just,1
ka,1
kabab,1
karunga,1
ke,1
kitty,1
knows,1
kripa,1
kunafa,1
kya,1
latest,1
launch,1
launched,1
leading,1
led,1
less,1
lettuce,1
like,1
likes,1
limited,1
lining,1
loaded,1
located,1
love,1
main,1
make,1
many,1
marketing,1
matter,1
may,1
mayo,1
meticulously,1
million,1
mini,1
mojitos,1
monster,1
most,1
music,1
n,1
nationwide,1
needs,1
never,1
nostalgic,1
numbers,1
nut,1
nutty,1
office,1
one,1
onion,1
onto,1
open,1
opened,1
opening,1
options,1
order,1
orders,1
orio,1
other,1
over,1
pair,1
pent,1
per,1
perfect,1
pickled,1
pizzas,1
places,1
platter,1
possible,1
premium,1
price,1
produced,1
product,1
promise,1
promotional,1
proud,1
quality,1
quantities,1
random,1
ready,1
real,1
red,1
refuse,1
relate,1
report,1
response,1
return,1
richest,1
roastery,1
roasts,1
said,1
save,1
score,1
seasonal,1
section,1
see,1
selected,1
selling,1
session,1
several,1
shawarma,1
shop,1
shredded,1
side,1
simple,1
single,1
slow,1
socha,1
soda,1
sold,1
someone,1
sophistication,1
soy,1
space,1
sparkling,1
speaks,1
specialties,1
specialty,1
specifically,1
spending,1
spot,1
spring,1
starters,1
state,1
stay,1
strong,1
study,1
suffer,1
summer,1
supply,1
sweet,1
sweetness,1
switching,1
tag,1
taken,1
tha,1
than,1
themed,1
then,1
they,1
thrissur,1
tikka,1
times,1
toasted,1
toasts,1
too,1
tooth,1
top,1
transparency,1
transports,1
travel,1
treat,1
trip,1
truck,1
tummy,1
type,1
unsatisfying,1
until,1
upload,1
vannu,1
variants,1
variety,1
versatility,1
visit,1
walo,1
wants,1
well,1
when,1
which,1
while,1
wholesome,1
wholesomeness,1
winner,1
without,1
women,1
wonder,1
worth,1
wounder,1
yes,1
yet,1
zodiac,1
Almond,2
An,2
Arthur,2
Authentic,2
Bake,2
Brioche,2
Cheese,2
Chef,2
Court,2
Crispy,2
Dark,2
Edamuttam,2
Fly,2
For,2
From,2
Fuzo,2
Half,2
Home,2
Honey,2
House,2
India,2
Italian,2
Jing,2
King,2
Little,2
Marine,2
Miss,2
New,2
Paneer,2
Peels,2
Sector,2
Shake,2
Sichuan,2
Sneaker,2
Sons,2
Spicy,2
Street,2
Their,2
Vlog,2
Weekender,2
What,2
With,2
after,2
alla,2
announced,2
artisanal,2
available,2
back,2
been,2
brand,2
but,2
buy,2
chili,2
collab,2
collective,2
comment,2
corn,2
create,2
created,2
digital,2
do,2
fans,2
features,2
freshest,2
good,2
guacamole,2
guests,2
healthy,2
here,2
hold,2
house,2
how,2
ingredients,2
items,2
ketchup,2
lover,2
makes,2
movie,2
much,2
no,2
not,2
offering,2
only,2
oru,2
our,2
partnership,2
passion,2
people,2
popsicles,2
potato,2
promotion,2
recently,2
restaurant,2
right,2
run,2
sauce,2
share,2
shortage,2
signature,2
soon,2
special,2
spicy,2
stunt,2
tea,2
teamed,2
theater,2
through,2
topped,2
try,2
tuned,2
use,2
used,2
we,2
would,2
By,3
Chocolate,3
Delhi,3
Famous,3
Get,3
Here,3
Ice,3
If,3
Mjöl,3
Mohali,3
Naan,3
Nut,3
Phase,3
Place,3
Raipur,3
Road,3
Shack,3
Smokie,3
all,3
any,3
best,3
comes,3
experience,3
favourite,3
friends,3
hot,3
including,3
list,3
looking,3
made,3
menu,3
more,3
out,3
outlet,3
place,3
popcorn,3
project,3
small,3
so,3
some,3
such,3
these,3
time,3
video,3
where,3
x,3
A,4
Butter,4
Fried,4
Hot,4
Tag,4
This,4
by,4
coffee,4
ice,4
it,4
its,4
new,4
Chili,5
Comment,5
Crisp,5
also,5
cream,5
have,5
or,5
tell,5
us,5
who,5
will,5
Chicken,6
Food,6
are,6
be,6
food,6
has,6
now,6
this,6
up,6
can,7
on,7
their,7
that,9
from,11
you,11
as,12
at,12
The,15
with,16
your,18
for,19
in,21
is,21
of,21
a,37
to,38
the,43
and,54
